state_city,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
AZ_PHOENIX,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,96.01119542102732
CA_LOS_ANGELES,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,87.05218202939838
IL_CHICAGO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,62.23790290258873
NY_ALBANY,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,110.2373853979206
NY_NEW_YORK,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,168.47504911902342
NY_ROCHESTER,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,29.937690310654254
PA_PHILADELPHIA,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,135.1976795944536
TX_AUSTIN,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,95.17122143446097
TX_DALLAS,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,123.09866045881284
TX_EL_PASO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,141.42080352759993
TX_HOUSTON,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,253.87459042609834
TX_SAN_ANTONIO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.975,50.79393362940812
AZ_PHOENIX,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,132.27201662604688
CA_LOS_ANGELES,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,131.0616712859983
IL_CHICAGO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,97.32274764617638
NY_ALBANY,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,143.35418046151057
NY_NEW_YORK,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,258.773239625881
NY_ROCHESTER,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,48.32433070779704
PA_PHILADELPHIA,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,196.44396941796742
TX_AUSTIN,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,121.76711347060731
TX_DALLAS,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,152.70336947552815
TX_EL_PASO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,199.5135241554245
TX_HOUSTON,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,346.1717844976723
TX_SAN_ANTONIO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.975,71.72374601231087
