region_type,region,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,season_week,season
States,Alabama,2010,40,NA,2.13477,NA,NA,NA,NA,NA,NA,249,35,11664,2010-10-03,10,2010/11
States,Alaska,2010,40,NA,0.875146,NA,NA,NA,NA,NA,NA,15,7,1714,2010-10-03,10,2010/11
States,Arizona,2010,40,NA,0.674721,NA,NA,NA,NA,NA,NA,172,49,25492,2010-10-03,10,2010/11
States,Arkansas,2010,40,NA,0.696056,NA,NA,NA,NA,NA,NA,18,15,2586,2010-10-03,10,2010/11
States,California,2010,40,NA,1.95412,NA,NA,NA,NA,NA,NA,632,112,32342,2010-10-03,10,2010/11
States,Colorado,2010,40,NA,0.660684,NA,NA,NA,NA,NA,NA,134,14,20282,2010-10-03,10,2010/11
States,Connecticut,2010,40,NA,0.0783085,NA,NA,NA,NA,NA,NA,3,12,3831,2010-10-03,10,2010/11
States,Delaware,2010,40,NA,0.100125,NA,NA,NA,NA,NA,NA,4,13,3995,2010-10-03,10,2010/11
States,District of Columbia,2010,40,NA,2.80877,NA,NA,NA,NA,NA,NA,73,4,2599,2010-10-03,10,2010/11
States,Florida,2010,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-10-03,10,2010/11
States,Georgia,2010,40,NA,1.6049,NA,NA,NA,NA,NA,NA,647,62,40314,2010-10-03,10,2010/11
States,Hawaii,2010,40,NA,1.02934,NA,NA,NA,NA,NA,NA,20,18,1943,2010-10-03,10,2010/11
States,Idaho,2010,40,NA,0.414938,NA,NA,NA,NA,NA,NA,19,12,4579,2010-10-03,10,2010/11
States,Illinois,2010,40,NA,1.28205,NA,NA,NA,NA,NA,NA,505,74,39390,2010-10-03,10,2010/11
States,Indiana,2010,40,NA,0.518962,NA,NA,NA,NA,NA,NA,65,44,12525,2010-10-03,10,2010/11
States,Iowa,2010,40,NA,0.563063,NA,NA,NA,NA,NA,NA,10,6,1776,2010-10-03,10,2010/11
States,Kansas,2010,40,NA,0.442227,NA,NA,NA,NA,NA,NA,39,40,8819,2010-10-03,10,2010/11
States,Kentucky,2010,40,NA,0.142932,NA,NA,NA,NA,NA,NA,19,14,13293,2010-10-03,10,2010/11
