feat,importance,b,q_level
inc_trans_cs_taylor_d2_c1_w4t_sNone,77,0,0.025
inc_trans_cs_taylor_d2_c2_w4t_sNone,69,0,0.025
inc_trans_cs_taylor_d2_c0_w6t_sNone,50,0,0.025
inc_trans_cs_taylor_d2_c1_w6t_sNone,66,0,0.025
inc_trans_cs_taylor_d2_c2_w6t_sNone,71,0,0.025
inc_trans_cs_taylor_d1_c0_w3t_sNone,53,0,0.025
inc_trans_cs_taylor_d1_c1_w3t_sNone,110,0,0.025
inc_trans_cs_taylor_d1_c0_w5t_sNone,38,0,0.025
inc_trans_cs_taylor_d1_c1_w5t_sNone,59,0,0.025
inc_trans_cs_rollmean_w2,53,0,0.025
inc_trans_cs_rollmean_w4,50,0,0.025
inc_trans_cs_lag1,50,0,0.025
inc_trans_cs_lag2,40,0,0.025
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,22,0,0.025
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,10,0,0.025
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,60,0,0.025
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,28,0,0.025
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,42,0,0.025
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,41,0,0.025
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,35,0,0.025
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,27,0,0.025
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,35,0,0.025
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,39,0,0.025
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,26,0,0.025
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,38,0,0.025
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,9,0,0.025
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,12,0,0.025
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag1,25,0,0.025
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag2,45,0,0.025
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag1,10,0,0.025
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag2,20,0,0.025
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag1,38,0,0.025
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag2,105,0,0.025
inc_trans_cs_rollmean_w2_lag1,12,0,0.025
inc_trans_cs_rollmean_w2_lag2,26,0,0.025
inc_trans_cs_rollmean_w4_lag1,22,0,0.025
inc_trans_cs_rollmean_w4_lag2,57,0,0.025
horizon,64,0,0.025
inc_trans_cs,184,0,0.5
season_week,466,0,0.5
log_pop,196,0,0.5
source_flusurvnet,1,0,0.5
source_ilinet,1,0,0.5
source_nhsn_city,40,0,0.5
state_city_AK,0,0,0.5
state_city_AL,0,0,0.5
state_city_AL_BIRMINGHAM,0,0,0.5
state_city_AL_HUNTSVILLE,0,0,0.5
state_city_AL_MOBILE,0,0,0.5
state_city_AL_MONTGOMERY,0,0,0.5
state_city_AL_TUSCALOOSA,0,0,0.5
state_city_AR,0,0,0.5
state_city_AR_FAYETTEVILLE,0,0,0.5
state_city_AR_LITTLE_ROCK,0,0,0.5
state_city_AZ,0,0,0.5
state_city_AZ_CHANDLER,0,0,0.5
state_city_AZ_GLENDALE,0,0,0.5
state_city_AZ_GOODYEAR,0,0,0.5
state_city_AZ_MESA,0,0,0.5
state_city_AZ_PHOENIX,0,0,0.5
state_city_AZ_SCOTTSDALE,0,0,0.5
state_city_AZ_TEMPE,0,0,0.5
state_city_AZ_TUCSON,0,0,0.5
state_city_AZ_YUMA,0,0,0.5
state_city_CA,0,0,0.5
state_city_CA_ANAHEIM,0,0,0.5
state_city_CA_ANTIOCH,0,0,0.5
state_city_CA_BAKERSFIELD,1,0,0.5
state_city_CA_BERKELEY,0,0,0.5
state_city_CA_BURBANK,0,0,0.5
state_city_CA_CHICO,0,0,0.5
state_city_CA_CHULA_VISTA,0,0,0.5
state_city_CA_CLOVIS,0,0,0.5
state_city_CA_CORONA,0,0,0.5
state_city_CA_COSTA_MESA,0,0,0.5
state_city_CA_DOWNEY,0,0,0.5
state_city_CA_FONTANA,0,0,0.5
state_city_CA_FREMONT,0,0,0.5
state_city_CA_FRESNO,0,0,0.5
state_city_CA_FULLERTON,0,0,0.5
state_city_CA_GARDEN_GROVE,0,0,0.5
state_city_CA_GLENDALE,0,0,0.5
state_city_CA_HUNTINGTON_BEACH,0,0,0.5
state_city_CA_INGLEWOOD,0,0,0.5
state_city_CA_IRVINE,17,0,0.5
state_city_CA_LANCASTER,0,0,0.5
state_city_CA_LONG_BEACH,0,0,0.5
state_city_CA_LOS_ANGELES,0,0,0.5
state_city_CA_MODESTO,0,0,0.5
state_city_CA_MORENO_VALLEY,0,0,0.5
state_city_CA_MURRIETA,0,0,0.5
state_city_CA_OAKLAND,0,0,0.5
state_city_CA_OCEANSIDE,0,0,0.5
state_city_CA_ONTARIO,0,0,0.5
state_city_CA_ORANGE,0,0,0.5
state_city_CA_OXNARD,0,0,0.5
state_city_CA_PALMDALE,0,0,0.5
state_city_CA_PASADENA,0,0,0.5
state_city_CA_POMONA,0,0,0.5
state_city_CA_RANCHO_CUCAMONGA,0,0,0.5
state_city_CA_RIVERSIDE,0,0,0.5
state_city_CA_ROSEVILLE,0,0,0.5
state_city_CA_SACRAMENTO,0,0,0.5
state_city_CA_SALINAS,0,0,0.5
state_city_CA_SANTA_ANA,2,0,0.5
state_city_CA_SANTA_CLARA,0,0,0.5
state_city_CA_SANTA_MARIA,0,0,0.5
state_city_CA_SANTA_ROSA,0,0,0.5
state_city_CA_SAN_BERNARDINO,13,0,0.5
state_city_CA_SAN_DIEGO,0,0,0.5
state_city_CA_SAN_FRANCISCO,0,0,0.5
state_city_CA_SAN_JOSE,0,0,0.5
state_city_CA_SAN_MATEO,0,0,0.5
state_city_CA_SIMI_VALLEY,0,0,0.5
state_city_CA_STOCKTON,0,0,0.5
state_city_CA_TEMECULA,0,0,0.5
state_city_CA_THOUSAND_OAKS,0,0,0.5
state_city_CA_TORRANCE,0,0,0.5
state_city_CA_VACAVILLE,0,0,0.5
state_city_CA_VALLEJO,0,0,0.5
state_city_CA_VICTORVILLE,0,0,0.5
state_city_CA_VISALIA,0,0,0.5
state_city_CA_WEST_COVINA,0,0,0.5
state_city_CO,0,0,0.5
state_city_CO_AURORA,0,0,0.5
state_city_CO_BOULDER,0,0,0.5
state_city_CO_COLORADO_SPRINGS,0,0,0.5
state_city_CO_DENVER,0,0,0.5
state_city_CO_FORT_COLLINS,0,0,0.5
state_city_CO_GREELEY,0,0,0.5
state_city_CO_LAKEWOOD,0,0,0.5
state_city_CO_PUEBLO,0,0,0.5
state_city_CO_THORNTON,0,0,0.5
state_city_CO_WESTMINSTER,0,0,0.5
state_city_CT,0,0,0.5
state_city_CT_BRIDGEPORT,0,0,0.5
state_city_CT_HARTFORD,0,0,0.5
state_city_CT_NEW_HAVEN,0,0,0.5
state_city_CT_STAMFORD,0,0,0.5
state_city_CT_WATERBURY,0,0,0.5
state_city_DC,0,0,0.5
state_city_DC_WASHINGTON,0,0,0.5
state_city_DE,0,0,0.5
state_city_FL,0,0,0.5
state_city_FL_CAPE_CORAL,0,0,0.5
state_city_FL_CLEARWATER,0,0,0.5
state_city_FL_FORT_LAUDERDALE,0,0,0.5
state_city_FL_GAINESVILLE,0,0,0.5
state_city_FL_HIALEAH,0,0,0.5
state_city_FL_HOLLYWOOD,0,0,0.5
state_city_FL_JACKSONVILLE,0,0,0.5
state_city_FL_LAKELAND,0,0,0.5
state_city_FL_MIAMI,0,0,0.5
